Class,Accuracy
AM General Hummer SUV 2000,0.8863636255264282
Acura Integra Type R 2001,0.75
Acura RL Sedan 2012,0.5625
Acura TL Sedan 2012,0.8837209343910217
Acura TL Type-S 2008,0.8333333134651184
Acura TSX Sedan 2012,0.5249999761581421
Acura ZDX Hatchback 2012,0.41025641560554504
Aston Martin V8 Vantage Convertible 2012,0.5555555820465088
Aston Martin V8 Vantage Coupe 2012,0.31707316637039185
Aston Martin Virage Convertible 2012,0.42424243688583374
Aston Martin Virage Coupe 2012,0.7894737124443054
Audi 100 Sedan 1994,0.4749999940395355
Audi 100 Wagon 1994,0.380952388048172
Audi A5 Coupe 2012,0.7560975551605225
Audi R8 Coupe 2012,0.5581395626068115
Audi RS 4 Convertible 2008,0.6666666865348816
Audi S4 Sedan 2007,0.5111111402511597
Audi S4 Sedan 2012,0.38461539149284363
Audi S5 Convertible 2012,0.5714285969734192
Audi S5 Coupe 2012,0.261904776096344
Audi S6 Sedan 2011,0.6521739363670349
Audi TT Hatchback 2011,0.550000011920929
Audi TT RS Coupe 2012,0.692307710647583
Audi TTS Coupe 2012,0.380952388048172
Audi V8 Sedan 1994,0.5348837375640869
BMW 1 Series Convertible 2012,0.7714285850524902
BMW 1 Series Coupe 2012,0.7317073345184326
BMW 3 Series Sedan 2012,0.5476190447807312
BMW 3 Series Wagon 2012,0.5609756112098694
BMW 6 Series Convertible 2007,0.4545454680919647
BMW ActiveHybrid 5 Sedan 2012,0.8529411554336548
BMW M3 Coupe 2012,0.75
BMW M5 Sedan 2010,0.707317054271698
BMW M6 Convertible 2010,0.6097561120986938
BMW X3 SUV 2012,0.7631579041481018
BMW X5 SUV 2007,0.9268292784690857
BMW X6 SUV 2012,0.6904761791229248
BMW Z4 Convertible 2012,0.6000000238418579
Bentley Arnage Sedan 2009,0.7435897588729858
Bentley Continental Flying Spur Sedan 2007,0.6136363744735718
Bentley Continental GT Coupe 2007,0.54347825050354
Bentley Continental GT Coupe 2012,0.6764705777168274
Bentley Continental Supersports Conv. Convertible 2012,0.6666666865348816
Bentley Mulsanne Sedan 2011,0.7714285850524902
Bugatti Veyron 16.4 Convertible 2009,0.65625
Bugatti Veyron 16.4 Coupe 2009,0.6976743936538696
Buick Enclave SUV 2012,0.8571428656578064
Buick Rainier SUV 2007,0.7142857313156128
Buick Regal GS 2012,0.800000011920929
Buick Verano Sedan 2012,0.8918918967247009
Cadillac CTS-V Sedan 2012,0.8139534592628479
Cadillac Escalade EXT Crew Cab 2007,0.7954545617103577
Cadillac SRX SUV 2012,0.8780487775802612
Chevrolet Avalanche Crew Cab 2012,0.5333333611488342
Chevrolet Camaro Convertible 2012,0.5227272510528564
Chevrolet Cobalt SS 2010,0.6585366129875183
Chevrolet Corvette Convertible 2012,0.43589743971824646
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.7837837934494019
Chevrolet Corvette ZR1 2012,0.5652173757553101
Chevrolet Express Cargo Van 2007,0.5862069129943848
Chevrolet Express Van 2007,0.37142857909202576
Chevrolet HHR SS 2010,0.8888888955116272
Chevrolet Impala Sedan 2007,0.5348837375640869
Chevrolet Malibu Hybrid Sedan 2010,0.6052631735801697
Chevrolet Malibu Sedan 2007,0.6818181872367859
Chevrolet Monte Carlo Coupe 2007,0.5555555820465088
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.6904761791229248
Chevrolet Silverado 1500 Extended Cab 2012,0.4883720874786377
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.42500001192092896
Chevrolet Silverado 1500 Regular Cab 2012,0.7045454382896423
Chevrolet Silverado 2500HD Regular Cab 2012,0.6315789222717285
Chevrolet Sonic Sedan 2012,0.7272727489471436
Chevrolet Tahoe Hybrid SUV 2012,0.4324324429035187
Chevrolet TrailBlazer SS 2009,0.8999999761581421
Chevrolet Traverse SUV 2012,0.6590909361839294
Chrysler 300 SRT-8 2010,0.6458333134651184
Chrysler Aspen SUV 2009,0.7906976938247681
Chrysler Crossfire Convertible 2008,0.7209302186965942
Chrysler PT Cruiser Convertible 2008,0.800000011920929
Chrysler Sebring Convertible 2010,0.699999988079071
Chrysler Town and Country Minivan 2012,0.8108108043670654
Daewoo Nubira Wagon 2002,0.644444465637207
Dodge Caliber Wagon 2007,0.8571428656578064
Dodge Caliber Wagon 2012,0.6499999761581421
Dodge Caravan Minivan 1997,0.8604651093482971
Dodge Challenger SRT8 2011,0.7179487347602844
Dodge Charger SRT-8 2009,0.6428571343421936
Dodge Charger Sedan 2012,0.5609756112098694
Dodge Dakota Club Cab 2007,0.7368420958518982
Dodge Dakota Crew Cab 2010,0.6585366129875183
Dodge Durango SUV 2007,0.7777777910232544
Dodge Durango SUV 2012,0.7906976938247681
Dodge Journey SUV 2012,0.7045454382896423
Dodge Magnum Wagon 2008,0.75
Dodge Ram Pickup 3500 Crew Cab 2010,0.761904776096344
Dodge Ram Pickup 3500 Quad Cab 2009,0.6818181872367859
Dodge Sprinter Cargo Van 2009,0.4871794879436493
Eagle Talon Hatchback 1998,0.6304348111152649
FIAT 500 Abarth 2012,0.9629629850387573
FIAT 500 Convertible 2012,0.9090909361839294
Ferrari 458 Italia Convertible 2012,0.5641025900840759
Ferrari 458 Italia Coupe 2012,0.523809552192688
Ferrari California Convertible 2012,0.7692307829856873
Ferrari FF Coupe 2012,0.738095223903656
Fisker Karma Sedan 2012,0.6744186282157898
Ford E-Series Wagon Van 2012,0.9729729890823364
Ford Edge SUV 2012,0.7209302186965942
Ford Expedition EL SUV 2009,0.8409090638160706
Ford F-150 Regular Cab 2007,0.6888889074325562
Ford F-150 Regular Cab 2012,0.8571428656578064
Ford F-450 Super Duty Crew Cab 2012,0.8780487775802612
Ford Fiesta Sedan 2012,0.6190476417541504
Ford Focus Sedan 2007,0.5777778029441833
Ford Freestar Minivan 2007,0.7727272510528564
Ford GT Coupe 2006,0.644444465637207
Ford Mustang Convertible 2007,0.5454545617103577
Ford Ranger SuperCab 2011,0.761904776096344
GMC Acadia SUV 2012,0.9545454382896423
GMC Canyon Extended Cab 2012,0.574999988079071
GMC Savana Van 2012,0.6764705777168274
GMC Terrain SUV 2012,0.8536585569381714
GMC Yukon Hybrid SUV 2012,0.6666666865348816
Geo Metro Convertible 1993,0.7045454382896423
HUMMER H2 SUT Crew Cab 2009,0.7441860437393188
HUMMER H3T Crew Cab 2010,0.7692307829856873
Honda Accord Coupe 2012,0.6410256624221802
Honda Accord Sedan 2012,0.6578947305679321
Honda Odyssey Minivan 2007,0.7804877758026123
Honda Odyssey Minivan 2012,0.8095238208770752
Hyundai Accent Sedan 2012,0.625
Hyundai Azera Sedan 2012,0.6666666865348816
Hyundai Elantra Sedan 2007,0.7857142686843872
Hyundai Elantra Touring Hatchback 2012,0.7142857313156128
Hyundai Genesis Sedan 2012,0.8139534592628479
Hyundai Santa Fe SUV 2012,0.738095223903656
Hyundai Sonata Hybrid Sedan 2012,0.8484848737716675
Hyundai Sonata Sedan 2012,0.5897436141967773
Hyundai Tucson SUV 2012,0.7906976938247681
Hyundai Veloster Hatchback 2012,0.5609756112098694
Hyundai Veracruz SUV 2012,0.523809552192688
Infiniti G Coupe IPL 2012,0.6176470518112183
Infiniti QX56 SUV 2011,0.84375
Isuzu Ascender SUV 2008,0.800000011920929
Jaguar XK XKR 2012,0.6086956262588501
Jeep Compass SUV 2012,0.6904761791229248
Jeep Grand Cherokee SUV 2012,0.644444465637207
Jeep Liberty SUV 2012,0.7272727489471436
Jeep Patriot SUV 2012,0.8181818127632141
Jeep Wrangler SUV 2012,0.8837209343910217
Lamborghini Aventador Coupe 2012,0.5116279125213623
Lamborghini Diablo Coupe 2001,0.7272727489471436
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.7428571581840515
Lamborghini Reventon Coupe 2008,0.8055555820465088
Land Rover LR2 SUV 2012,0.6428571343421936
Land Rover Range Rover SUV 2012,0.8333333134651184
Lincoln Town Car Sedan 2011,0.7692307829856873
MINI Cooper Roadster Convertible 2012,0.9166666865348816
Maybach Landaulet Convertible 2012,0.8620689511299133
Mazda Tribute SUV 2011,0.7777777910232544
McLaren MP4-12C Coupe 2012,0.75
Mercedes-Benz 300-Class Convertible 1993,0.875
Mercedes-Benz C-Class Sedan 2012,0.7333333492279053
Mercedes-Benz E-Class Sedan 2012,0.6744186282157898
Mercedes-Benz S-Class Sedan 2012,0.75
Mercedes-Benz SL-Class Coupe 2009,0.6388888955116272
Mercedes-Benz Sprinter Van 2012,0.8292682766914368
Mitsubishi Lancer Sedan 2012,0.6170212626457214
Nissan 240SX Coupe 1998,0.782608687877655
Nissan Juke Hatchback 2012,0.6818181872367859
Nissan Leaf Hatchback 2012,0.8095238208770752
Nissan NV Passenger Van 2012,0.7894737124443054
Plymouth Neon Coupe 1999,0.7727272510528564
Porsche Panamera Sedan 2012,0.5813953280448914
Ram C_V Cargo Van Minivan 2012,0.6829268336296082
Rolls-Royce Ghost Sedan 2012,0.6315789222717285
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.6333333253860474
Rolls-Royce Phantom Sedan 2012,0.6818181872367859
Scion xD Hatchback 2012,0.7317073345184326
Spyker C8 Convertible 2009,0.6000000238418579
Spyker C8 Coupe 2009,0.4047619104385376
Suzuki Aerio Sedan 2007,0.6578947305679321
Suzuki Kizashi Sedan 2012,0.739130437374115
Suzuki SX4 Hatchback 2012,0.6666666865348816
Suzuki SX4 Sedan 2012,0.44999998807907104
Tesla Model S Sedan 2012,0.7894737124443054
Toyota 4Runner SUV 2012,0.7250000238418579
Toyota Camry Sedan 2012,0.7674418687820435
Toyota Corolla Sedan 2012,0.5813953280448914
Toyota Sequoia SUV 2012,0.8684210777282715
Volkswagen Beetle Hatchback 2012,0.8333333134651184
Volkswagen Golf Hatchback 1991,0.804347813129425
Volkswagen Golf Hatchback 2012,0.4651162922382355
Volvo 240 Sedan 1993,0.8444444537162781
Volvo C30 Hatchback 2012,0.7317073345184326
Volvo XC90 SUV 2007,0.6744186282157898
smart fortwo Convertible 2012,0.7250000238418579
